7 25 230
42 95 260
21 300 465
31 420 555
1 565 575
49 605 625
32 575 665
22 520 585
18 415 635
17 145 665
3 345 750
45 555 815
19 510 875
41 475 960
8 525 1000
9 580 1175
10 650 1130
33 1150 1160
43 875 920
15 845 680
5 845 655
38 795 645
40 760 650
39 720 635
36 685 610
35 685 595
34 700 580
44 700 500
46 830 485
37 770 610
24 835 625
48 830 610
6 880 660
4 945 685
25 975 580
51 1340 725
11 1605 620
12 1220 580
28 1250 400
26 1215 245
27 1320 315
13 1465 200
52 1740 245
14 1530 5
47 1170 65
29 660 180
16 725 370
50 595 360
20 560 365
23 480 415
30 410 250
2 25 185
7 25 230
