171 80 25
172 80 25
174 88 49
173 80 41
107 72 49
106 72 41
105 64 41
104 56 41
103 56 33
102 56 25
101 56 17
100 56 9
99 44 11
98 32 17
93 32 25
94 24 25
95 16 25
96 16 17
97 24 17
92 44 27
91 44 35
90 44 43
89 40 51
109 48 51
108 56 49
110 56 57
111 56 65
112 48 63
88 40 63
87 40 73
113 48 73
114 56 73
115 56 81
116 48 83
86 40 83
85 32 81
84 32 73
83 32 65
82 32 57
81 32 49
79 24 45
80 32 41
78 8 41
77 8 49
76 16 57
75 8 57
74 8 65
73 8 73
72 8 81
71 8 89
70 8 97
67 16 97
66 24 89
65 32 89
64 32 97
63 40 99
62 48 99
118 56 97
61 56 105
60 56 113
43 56 121
42 56 129
41 56 137
40 56 145
39 56 153
38 56 161
35 64 157
36 64 165
37 56 169
34 80 157
33 90 165
126 116 145
127 124 145
128 132 145
21 140 145
20 148 145
19 156 145
18 164 145
17 172 145
133 164 137
132 156 137
131 148 137
130 140 137
129 132 137
154 124 125
155 124 117
153 124 109
156 124 101
152 124 93
151 124 85
177 124 77
176 124 69
181 124 61
180 132 61
179 140 65
178 132 81
150 148 85
149 164 81
148 172 77
147 172 69
146 172 61
145 172 53
144 180 53
143 180 61
142 180 69
141 180 77
140 180 85
139 172 85
138 172 93
137 172 101
136 172 109
135 172 117
134 172 125
270 180 125
269 180 117
268 180 109
267 180 101
266 180 93
265 188 93
264 196 101
263 204 109
262 212 117
261 220 125
260 228 125
259 228 117
258 228 109
257 228 101
256 236 101
255 236 93
254 228 93
253 228 85
252 236 85
209 236 77
208 228 77
206 220 73
207 228 69
210 236 69
211 236 61
212 228 61
213 228 53
214 236 53
215 236 45
216 228 45
217 228 37
218 236 37
219 236 29
220 228 29
221 228 21
222 236 21
223 252 21
224 260 29
225 260 37
226 260 45
227 260 53
228 260 61
229 260 69
230 260 77
251 260 85
250 260 93
247 268 97
246 276 85
245 276 93
244 276 101
243 280 109
242 288 109
241 284 101
240 284 93
239 284 85
238 284 77
231 276 77
232 276 69
233 276 61
234 276 53
235 284 53
236 284 61
237 284 69
249 252 101
248 260 109
278 252 125
279 260 129
3 270 133
280 280 133
2 288 129
1 288 149
69 8 109
68 16 109
59 40 113
58 32 113
57 32 121
44 40 121
45 40 129
46 40 137
47 40 145
48 40 153
49 40 161
50 40 169
51 32 169
52 32 161
53 32 153
54 32 145
55 32 137
56 32 129
117 56 89
182 124 53
183 124 45
184 124 37
185 124 29
187 124 21
186 132 21
190 136 9
189 128 9
188 120 9
192 162 9
191 148 9
193 156 25
201 180 37
196 180 29
195 180 21
194 172 21
197 172 29
198 172 37
199 172 45
200 180 45
202 188 41
203 196 49
204 204 57
205 212 65
16 188 145
271 196 145
272 204 145
273 212 145
274 220 145
275 228 145
276 236 145
277 246 141
4 256 141
5 256 157
6 246 157
7 236 169
8 228 169
9 228 161
10 220 169
11 212 169
12 204 169
13 196 169
14 188 169
15 196 161
24 172 169
23 164 169
25 156 169
22 148 169
26 140 169
27 132 169
28 124 169
29 116 161
32 104 169
31 104 161
30 104 153
125 104 145
124 104 137
123 104 129
122 104 121
121 104 113
120 104 105
119 104 97
157 104 89
158 104 81
159 104 73
160 104 65
175 104 57
161 104 49
162 104 41
163 104 33
164 104 25
165 104 17
166 92 9
167 80 9
168 72 9
169 64 21
170 72 25
171 80 25


3096
